,Stock 1,Stock 2
0,Adj Close_1,Adj Close_2800
1,Adj Close_19,Adj Close_87
2,Adj Close_23,Adj Close_2800
3,Adj Close_27,Adj Close_880
4,Adj Close_107,Adj Close_2600
5,Adj Close_388,Adj Close_939
6,Adj Close_806,Adj Close_939
7,Adj Close_1186,Adj Close_390
8,Adj Close_1186,Adj Close_1766
9,Adj Close_1288,Adj Close_1398
10,Adj Close_1288,Adj Close_2801
11,Adj Close_1288,Adj Close_2828
12,Adj Close_1398,Adj Close_939
13,Adj Close_1398,Adj Close_2800
14,Adj Close_1398,Adj Close_2801
15,Adj Close_1398,Adj Close_2828
16,Adj Close_1766,Adj Close_390
17,Adj Close_1777,Adj Close_733
18,Adj Close_1813,Adj Close_588
19,Adj Close_1928,Adj Close_200
20,Adj Close_2318,Adj Close_2601
21,Adj Close_2356,Adj Close_440
22,Adj Close_2601,Adj Close_2801
23,Adj Close_2601,Adj Close_2828
24,Adj Close_2800,Adj Close_939
25,Adj Close_2800,Adj Close_2801
26,Adj Close_2800,Adj Close_2828
27,Adj Close_2801,Adj Close_806
28,Adj Close_2801,Adj Close_939
29,Adj Close_2801,Adj Close_2828
30,Adj Close_2828,Adj Close_388
31,Adj Close_2828,Adj Close_806
32,Adj Close_2828,Adj Close_939
