,Stock 1,Stock 2,Base return,Base vol,Base sharpe,Max return C,Max vol C,Max sharpe C,Ref days C,Leverage C,Reb days C,Max return D,Max vol D,Max sharpe D,Ref days D,Leverage D,Thresh buy D,Thresh sell D
0,Adj Close_23,Adj Close_2800,0.04534115659404314,0.11435634288038239,0.2653211516721921,0.31360989811782947,0.16845309810895928,1.7726589862104039,110,4,2,0.4724365456602473,0.22350679482687233,2.046633732162712,125,2.0,0.02,0.7
1,Adj Close_1186,Adj Close_1766,0.25094002963512474,0.42481298636535536,0.5553974035817429,0.43715903546379953,0.603972650846893,0.6989704498570363,80,1,5,0.5997388800272954,0.6982188709970832,0.8374721800232439,100,1.0,0.05,0.5
2,Adj Close_1288,Adj Close_1398,0.05725004107680154,0.18248124714166689,0.23153086543737442,0.28544720126084444,0.2653752343596407,1.0191124349393135,110,5,20,0.40771307180918415,0.3399440659538291,1.1552284953328824,175,3.5,0.3,0.7
3,Adj Close_1288,Adj Close_2801,0.04949170799395097,0.16222297437517144,0.21261913194972215,0.2848661509316772,0.2300054486602245,1.1733032956551257,90,4,10,0.6250572425253569,0.28976616325518734,2.1053432729069197,175,3.0,0.05,0.7
4,Adj Close_1288,Adj Close_2828,0.03731600492922538,0.17173542609905343,0.1299440973602847,0.35336650083665844,0.242490925508866,1.3953779925025978,90,5,10,0.3490226311516156,0.2981118162633179,1.1204608906095093,100,3.0,0.02,0.7
5,Adj Close_1398,Adj Close_939,0.06343877748611115,0.18464605724222957,0.26233312646674234,0.30847833152340187,0.2639212733247108,1.111991950578103,120,6,2,0.4691595426519162,0.3351132789508206,1.3552418575408531,150,4.0,0.02,0.6
6,Adj Close_1398,Adj Close_2800,0.05960790259338444,0.15330656503348966,0.2909719005421581,0.1261903112448084,0.20950193036252288,0.5307364521768573,120,3,20,0.21321677687974927,0.2672332197968842,0.7417370378967397,175,2.0,0.1,0.6
7,Adj Close_1398,Adj Close_2801,0.05645403976716179,0.16939317047839245,0.24472084470754746,0.1425844050049221,0.2322979838808211,0.5492273452979187,120,3,5,0.2778997167198882,0.29521531906125914,0.8905354829006511,175,2.0,0.02,0.7
8,Adj Close_1777,Adj Close_733,0.08645953552431274,0.37834885170098553,0.18887208247902446,0.6278130640930397,0.5033264868989549,1.2175259598767445,80,2,2,0.599976037110846,0.5418713845817049,1.079547755714053,100,1.0,0.1,0.6
9,Adj Close_1813,Adj Close_588,0.20131872010541652,0.35042834149634305,0.5316885024476847,0.5903387161992117,0.49501965709296414,1.1622542821388682,80,2,10,0.5145299647215087,0.5686296067983411,0.8784804005090472,100,1.0,0.1,0.5
10,Adj Close_2601,Adj Close_2801,0.06610287665258507,0.18784516153462463,0.2720478730199581,0.35712983901330264,0.21634880268209455,1.581380783123779,90,4,4,0.39081518645978774,0.2738634294763209,1.3722722569363057,100,2.5,0.02,0.5
11,Adj Close_2800,Adj Close_939,0.05863086189343614,0.1438657377157411,0.30327486298123824,0.11316528246426083,0.1514159818189682,0.6483151995251498,110,7,20,0.10033752764294479,0.1966965402214597,0.4338537299479883,175,1.5,0.05,0.7
12,Adj Close_2801,Adj Close_939,0.05530810512176276,0.16100075215937695,0.25035973174747156,0.14896380037047563,0.24003719011996807,0.5580960196356319,120,5,3,0.2639096250046207,0.2775926656403302,0.8966721956808706,150,4.0,0.3,0.5
